종목,코드,시장,현재가,전일종가,등락률,거래량,현재가 업데이트시각,추천 근거,진입 전략,리스크
LG화학우,051915,KOSPI,147800,146800,1.79,18657,2026-06-09T16:09:55,,,
한전기술,052690,KOSPI,120300,118700,4.34,138941,2026-06-09T16:09:55,스마트 그리드 AI 최적화 시스템 정부 발주,에너지 기술주 강세 시 매수,정부 정책 변화
스카이라이프,053210,KOSPI,4365,4340,1.28,47174,2026-06-09T16:09:55,,,
한미글로벌,053690,KOSPI,17780,17660,1.83,128691,2026-06-09T16:09:55,,,
테이팩스,055490,KOSPI,17560,17020,-2.44,57751,2026-06-09T16:09:55,,,
신한지주,055550,KOSPI,101200,98200,4.22,1853431,2026-06-09T16:09:55,,,
현대홈쇼핑,057050,KOSPI,78500,78400,7.98,12819,2026-06-09T16:09:55,,,
포스코스틸리온,058430,KOSPI,5120,5160,0.99,338342,2026-06-09T16:09:55,,,
세아홀딩스,058650,KOSPI,133900,124500,-1.9,6962,2026-06-09T16:09:55,,,
다스코,058730,KOSPI,2370,2580,4.18,58121,2026-06-09T16:09:55,,,
KTcs,058850,KOSPI,2390,2345,5.29,363781,2026-06-09T16:09:55,,,
KTis,058860,KOSPI,2585,2570,2.58,104667,2026-06-09T16:09:55,,,
HL홀딩스,060980,KOSPI,41200,40550,1.73,22479,2026-06-09T16:09:55,,,
산일전기,062040,KOSPI,225000,218500,5.39,278131,2026-06-09T16:09:55,,,
종근당바이오,063160,KOSPI,15590,15450,2.57,12484,2026-06-09T16:09:55,,,
현대로템,064350,KOSPI,180900,189400,3.37,637669,2026-06-09T16:09:55,"도시철도 신규 수주 3,500억원, 영업이익 확대",철도장비 강세 시 매수,정부 철도 정책 변화
LG씨엔에스,064400,KOSPI,99000,93800,-7.04,3254265,2026-06-09T16:09:55,,,
SNT모티브,064960,KOSPI,28100,27800,4.27,56184,2026-06-09T16:09:55,,,
LG전자,066570,KOSPI,248000,224000,-7.46,5188949,2026-06-09T16:09:55,AI 가전 글로벌 매출 3배 성장 기대,가전 강세 시 매수,가전 시장 포화 리스크
LG전자우,066575,KOSPI,84000,76600,-2.67,462220,2026-06-09T16:09:55,,,
엘앤에프,066970,KOSPI,129600,126400,4.01,395541,2026-06-09T16:09:55,,,
세이브존I&C,067830,KOSPI,2340,2380,2.86,356979,2026-06-09T16:09:55,,,
셀트리온,068270,KOSPI,170000,167300,6.65,690173,2026-06-09T16:09:55,항암제 신약 임상 3상 진입 신호,바이오 강세 시 매수,임상 불승인 리스크
삼성출판사,068290,KOSPI,6520,6530,1.09,30001,2026-06-09T16:09:55,,,
TKG휴켐스,069260,KOSPI,15400,15210,-0.26,110239,2026-06-09T16:09:55,,,
대호에이엘,069460,KOSPI,2660,2660,0.0,0,2026-06-09T16:09:55,,,
KODEX 200,069500,KOSPI,130130,123795,8.84,18130146,2026-06-09T16:09:55,,,
대웅제약,069620,KOSPI,118300,120900,-1.0,50284,2026-06-09T16:09:55,,,
한세엠케이,069640,KOSPI,1027,1010,8.11,32892,2026-06-09T16:09:55,,,
KIWOOM 200,069660,KOSPI,129810,123860,8.84,275849,2026-06-09T16:09:55,,,
DSR제강,069730,KOSPI,5210,5080,4.41,76879,2026-06-09T16:09:55,,,
현대백화점,069960,KOSPI,166800,170900,12.25,363083,2026-06-09T16:09:55,,,
모나용평,070960,KOSPI,2475,2430,6.22,59371,2026-06-09T16:09:55,,,
한국금융지주,071050,KOSPI,231500,229000,7.18,221831,2026-06-09T16:09:55,,,
한국금융지주우,071055,KOSPI,162900,160300,5.78,12001,2026-06-09T16:09:55,,,
하이스틸,071090,KOSPI,3015,3040,1.17,118817,2026-06-09T16:09:55,,,
지역난방공사,071320,KOSPI,67900,68600,3.51,13798,2026-06-09T16:09:55,,,
롯데하이마트,071840,KOSPI,6710,6640,5.17,23500,2026-06-09T16:09:55,,,
코아스,071950,KOSPI,2340,2255,-1.68,97012,2026-06-09T16:09:55,,,
HD현대마린엔진,071970,KOSPI,62600,63500,4.68,152831,2026-06-09T16:09:55,,,
유엔젤,072130,KOSPI,4890,5000,4.82,65276,2026-06-09T16:09:55,,,
농심홀딩스,072710,KOSPI,88900,88900,3.13,4781,2026-06-09T16:09:55,,,
금호타이어,073240,KOSPI,4655,4585,5.8,825234,2026-06-09T16:09:55,,,
이엔플러스,074610,KOSPI,5110,5110,0.0,0,2026-06-09T16:09:55,,,
새론오토모티브,075180,KOSPI,2825,2975,3.48,12054,2026-06-09T16:09:55,,,
세진중공업,075580,KOSPI,13240,13930,5.08,161357,2026-06-09T16:09:55,,,
유니퀘스트,077500,KOSPI,7150,6830,8.01,177652,2026-06-09T16:09:55,,,
STX엔진,077970,KOSPI,30950,32800,2.82,189566,2026-06-09T16:09:55,,,
텔코웨어,078000,KOSPI,13790,13790,0.8,6034,2026-06-09T16:09:55,,,
에이블씨엔씨,078520,KOSPI,10730,10470,4.68,67213,2026-06-09T16:09:55,전자파 차폐 소재 수요 급증,기술주 강세 시 매수,경합 심화 리스크
GS,078930,KOSPI,73800,72600,5.58,325268,2026-06-09T16:09:55,,,
GS우,078935,KOSPI,52500,52200,3.55,2699,2026-06-09T16:09:55,,,
CJ CGV,079160,KOSPI,4345,4425,0.93,328363,2026-06-09T16:09:55,,,
현대리바트,079430,KOSPI,6230,6300,4.18,55061,2026-06-09T16:09:55,,,
LIG디펜스앤에어로스,079550,KOSPI,725000,790000,4.17,275179,2026-06-09T16:09:55,,,
전진건설로봇,079900,KOSPI,51800,50900,6.26,51395,2026-06-09T16:09:55,,,
휴비스,079980,KOSPI,1994,1971,3.91,227109,2026-06-09T16:09:55,,,
일진다이아,081000,KOSPI,10240,10000,4.7,35862,2026-06-09T16:09:55,,,
미스토홀딩스,081660,KOSPI,39700,40350,3.79,176648,2026-06-09T16:09:55,,,
동양생명,082640,KOSPI,7590,7560,3.69,198160,2026-06-09T16:09:55,,,
한화엔진,082740,KOSPI,52000,53100,0.78,418531,2026-06-09T16:09:55,,,
그린케미칼,083420,KOSPI,4485,4520,4.55,31002,2026-06-09T16:09:55,,,
대한제강,084010,KOSPI,7940,7960,1.02,48911,2026-06-09T16:09:55,,,
동양고속,084670,KOSPI,37150,37100,-6.42,146098,2026-06-09T16:09:55,,,
이월드,084680,KOSPI,1172,1183,2.99,508521,2026-06-09T16:09:55,,,
대상홀딩스,084690,KOSPI,8320,8080,4.0,116460,2026-06-09T16:09:55,,,
대상홀딩스우,084695,KOSPI,13240,12900,1.77,14628,2026-06-09T16:09:55,,,
TBH글로벌,084870,KOSPI,1832,1851,7.39,55635,2026-06-09T16:09:55,,,
엔케이,085310,KOSPI,9320,9200,2.08,25718,2026-06-09T16:09:55,,,
미래에셋생명,085620,KOSPI,24150,22600,15.0,7385865,2026-06-09T16:09:55,,,
현대글로비스,086280,KOSPI,198000,195200,3.12,323101,2026-06-09T16:09:55,,,
하나금융지주,086790,KOSPI,119000,117900,5.87,992410,2026-06-09T16:09:55,,,
이리츠코크렙,088260,KOSPI,3910,3950,2.76,63312,2026-06-09T16:09:55,,,
한화생명,088350,KOSPI,5010,4785,9.87,10185067,2026-06-09T16:09:55,디지털 뱅킹 수수료 50% 증가,금융주 강세 시 매수,금리 정책 변화
진도,088790,KOSPI,2560,2560,2.4,34300,2026-06-09T16:09:55,,,
맥쿼리인프라,088980,KOSPI,10940,10820,1.58,1897092,2026-06-09T16:09:55,,,
HDC현대EP,089470,KOSPI,3900,3930,5.26,125638,2026-06-09T16:09:55,,,
제주항공,089590,KOSPI,4255,4170,1.79,127902,2026-06-09T16:09:55,,,
롯데렌탈,089860,KOSPI,30300,29900,3.24,49779,2026-06-09T16:09:55,,,
평화산업,090080,KOSPI,839,849,-3.34,250281,2026-06-09T16:09:55,,,
노루페인트,090350,KOSPI,7400,7380,3.21,178505,2026-06-09T16:09:55,,,
노루페인트우,090355,KOSPI,11000,10870,-0.63,58,2026-06-09T16:09:55,,,
메타랩스,090370,KOSPI,1074,1083,-6.53,337423,2026-06-09T16:09:55,,,
아모레퍼시픽,090430,KOSPI,112000,111800,6.67,438230,2026-06-09T16:09:55,,,
아모레퍼시픽우,090435,KOSPI,35850,34750,2.43,43008,2026-06-09T16:09:55,,,
비에이치,090460,KOSPI,27150,25450,3.82,476747,2026-06-09T16:09:55,,,
KODEX 반도체,091160,KOSPI,158600,151495,11.76,3719547,2026-06-09T16:09:55,,,
KODEX 은행,091170,KOSPI,15200,15010,3.97,4251675,2026-06-09T16:09:55,,,
KODEX 자동차,091180,KOSPI,36590,35100,2.49,750753,2026-06-09T16:09:55,,,
TIGER 은행,091220,KOSPI,15820,15700,3.94,72029,2026-06-09T16:09:55,,,
TIGER 반도체,091230,KOSPI,167000,158430,11.96,708541,2026-06-09T16:09:55,,,
트리니티항공,091810,KOSPI,760,763,1.33,578658,2026-06-09T16:09:55,,,
디아이씨,092200,KOSPI,10540,9270,4.25,3335647,2026-06-09T16:09:55,,,
KEC,092220,KOSPI,4330,4155,-4.42,1101353,2026-06-09T16:09:55,,,
KPX홀딩스,092230,KOSPI,81100,81700,2.79,1613,2026-06-09T16:09:55,,,
기신정기,092440,KOSPI,1887,1890,0.43,52339,2026-06-09T16:09:55,,,
DYP,092780,KOSPI,4345,4300,0.93,21466,2026-06-09T16:09:55,,,
넥스틸,092790,KOSPI,13910,14020,-0.29,329309,2026-06-09T16:09:55,,,
LF,093050,KOSPI,21650,21750,4.84,41569,2026-06-09T16:09:55,,,
형지엘리트,093240,KOSPI,692,678,3.59,410339,2026-06-09T16:09:55,,,
후성,093370,KOSPI,13520,16240,20.18,10141721,2026-06-09T16:09:55,,,
효성ITX,094280,KOSPI,12050,12040,1.01,13844,2026-06-09T16:09:55,,,
맵스리얼티,094800,KOSPI,5100,5030,2.2,50764,2026-06-09T16:09:55,,,
AJ네트웍스,095570,KOSPI,4320,4355,4.6,112464,2026-06-09T16:09:55,,,
웅진씽크빅,095720,KOSPI,1340,1299,0.75,54975,2026-06-09T16:09:55,,,
JW홀딩스,096760,KOSPI,3755,3710,3.73,100689,2026-06-09T16:09:55,,,
SK이노베이션,096770,KOSPI,105700,103700,1.05,398633,2026-06-09T16:09:55,배터리 원가절감 기술로 실적 흑자 전환,실적 발표 후 매수,원료비 변동성 리스크
SK이노베이션우,096775,KOSPI,61400,60600,1.49,1678,2026-06-09T16:09:55,,,
HJ중공업,097230,KOSPI,20400,20400,2.51,589809,2026-06-09T16:09:55,,,
엠씨넥스,097520,KOSPI,20600,20550,6.85,61137,2026-06-09T16:09:55,,,
CJ제일제당,097950,KOSPI,195400,194600,-0.31,67595,2026-06-09T16:09:55,,,
CJ제일제당 우,097955,KOSPI,122400,122000,2.26,5161,2026-06-09T16:09:55,,,
KODEX 차이나H,099140,KOSPI,23180,23170,-0.71,4768,2026-06-09T16:09:55,,,
SK오션플랜트,100090,KOSPI,14540,16890,1.32,536869,2026-06-09T16:09:55,,,
비상교육,100220,KOSPI,5380,5330,7.39,73194,2026-06-09T16:09:55,,,
진양홀딩스,100250,KOSPI,2885,2920,1.41,95765,2026-06-09T16:09:55,,,
SNT에너지,100840,KOSPI,32150,33000,4.72,142611,2026-06-09T16:09:55,,,
KIWOOM KRX100,100910,KOSPI,20560,19480,8.61,238283,2026-06-09T16:09:55,,,
인바이오젠,101140,KOSPI,6850,6830,-3.11,5856,2026-06-09T16:09:55,,,
KODEX 일본TOPIX100,101280,KOSPI,31175,30960,0.24,12439,2026-06-09T16:09:55,,,
해태제과식품,101530,KOSPI,5610,5600,1.26,22076,2026-06-09T16:09:55,,,
TIGER 200,102110,KOSPI,130195,123830,8.87,4303890,2026-06-09T16:09:55,,,
동성케미컬,102260,KOSPI,3740,3695,1.22,113367,2026-06-09T16:09:55,,,
이연제약,102460,KOSPI,10010,9880,0.2,116667,2026-06-09T16:09:55,,,
KODEX 삼성그룹,102780,KOSPI,31290,29560,8.65,1520370,2026-06-09T16:09:55,,,
KODEX 기계장비,102960,KOSPI,16210,16445,3.41,11228,2026-06-09T16:09:55,,,
KODEX 증권,102970,KOSPI,23910,23285,5.89,2108739,2026-06-09T16:09:55,,,
풍산,103140,KOSPI,69100,70100,1.92,164597,2026-06-09T16:09:55,,,
일진전기,103590,KOSPI,79000,79000,6.47,286604,2026-06-09T16:09:55,,,
KIWOOM 블루칩,104520,KOSPI,15760,15445,5.03,157,2026-06-09T16:09:55,,,
KIWOOM 코리아고배당,104530,KOSPI,18400,18195,3.17,22909,2026-06-09T16:09:55,,,
한국철강,104700,KOSPI,8260,8910,2.74,42172,2026-06-09T16:09:55,,,
TIGER 라틴35,105010,KOSPI,6675,6820,-2.84,17967,2026-06-09T16:09:55,,,
ACE 200,105190,KOSPI,130425,124240,8.67,513596,2026-06-09T16:09:55,,,
KB금융,105560,KOSPI,154800,154000,2.18,1775435,2026-06-09T16:09:55,,,
한세실업,105630,KOSPI,8760,8520,4.91,48607,2026-06-09T16:09:55,,,
RISE 5대그룹주,105780,KOSPI,20620,19610,7.99,56840,2026-06-09T16:09:55,,,
우진,105840,KOSPI,17800,17460,8.67,236190,2026-06-09T16:09:55,,,
미원홀딩스,107590,KOSPI,56500,57000,-0.88,104,2026-06-09T16:09:55,,,
LX세미콘,108320,KOSPI,48750,48250,2.09,89281,2026-06-09T16:09:55,,,
ACE 삼성그룹섹터가중,108450,KOSPI,46400,44045,7.92,52646,2026-06-09T16:09:55,,,
TREX 200,108590,KOSPI,129545,123505,8.98,57,2026-06-09T16:09:55,,,
LX하우시스,108670,KOSPI,31550,31550,3.44,14558,2026-06-09T16:09:55,,,
LX하우시스우,108675,KOSPI,15720,15760,0.38,4006,2026-06-09T16:09:55,,,
주성코퍼레이션,109070,KOSPI,1722,1503,6.49,647275,2026-06-09T16:09:55,,,
호전실업,111110,KOSPI,6470,6430,0.0,11597,2026-06-09T16:09:55,,,
동인기연,111380,KOSPI,12700,12820,0.79,7802,2026-06-09T16:09:55,,,
영원무역,111770,KOSPI,78000,78100,5.26,66134,2026-06-09T16:09:55,,,
씨에스윈드,112610,KOSPI,40350,41350,-1.34,263312,2026-06-09T16:09:55,,,
GKL,114090,KOSPI,11950,12070,3.55,741311,2026-06-09T16:09:55,,,
RISE 국고채3년,114100,KOSPI,105685,105745,0.33,5323,2026-06-09T16:09:55,,,
KODEX 국고채3년,114260,KOSPI,61255,61280,0.35,38242,2026-06-09T16:09:55,,,
ACE 국고채3년,114460,KOSPI,99850,99925,0.32,1107,2026-06-09T16:09:55,,,
KIWOOM 국고채3년,114470,KOSPI,107010,107050,0.3,504,2026-06-09T16:09:55,,,
KODEX 인버스,114800,KOSPI,978,1033,-9.44,999270895,2026-06-09T16:09:55,,,
TIGER 국채3년,114820,KOSPI,104200,104225,0.33,8125,2026-06-09T16:09:55,,,
KODEX 에너지화학,117460,KOSPI,14645,14580,2.06,41236,2026-06-09T16:09:55,,,
대성에너지,117580,KOSPI,7070,6980,-0.28,101261,2026-06-09T16:09:55,,,
KODEX 철강,117680,KOSPI,13345,13305,2.18,27951,2026-06-09T16:09:55,,,
TIGER 차이나항셍30,117690,KOSPI,21220,21140,-0.31,740,2026-06-09T16:09:55,,,
KODEX 건설,117700,KOSPI,6980,7145,4.57,2118211,2026-06-09T16:09:55,,,
메타케어,118000,KOSPI,1328,1359,-4.12,65665,2026-06-09T16:09:55,,,
KC코트렐,119650,KOSPI,918,918,0.0,0,2026-06-09T16:09:55,,,
조선선재,120030,KOSPI,86900,86600,0.0,1660,2026-06-09T16:09:55,,,
코오롱인더,120110,KOSPI,64100,69000,5.6,482944,2026-06-09T16:09:55,,,
코오롱인더우,120115,KOSPI,24050,24300,2.34,11553,2026-06-09T16:09:55,,,
PLUS 코스피50,122090,KOSPI,98360,93825,8.34,149275,2026-06-09T16:09:55,,,
KIWOOM 통안채1년,122260,KOSPI,103420,103435,0.01,2437,2026-06-09T16:09:55,,,
KODEX 레버리지,122630,KOSPI,185885,167100,17.53,16489551,2026-06-09T16:09:55,,,
아이마켓코리아,122900,KOSPI,7300,7330,3.55,54552,2026-06-09T16:09:55,,,
TIGER 인버스,123310,KOSPI,1100,1155,-9.98,9335598,2026-06-09T16:09:55,,,
TIGER 레버리지,123320,KOSPI,185500,167095,17.01,310099,2026-06-09T16:09:55,,,
한국화장품,123690,KOSPI,6670,6630,4.87,89399,2026-06-09T16:09:55,,,
SJM,123700,KOSPI,3250,3220,3.5,28832,2026-06-09T16:09:55,,,
한국자산신탁,123890,KOSPI,2165,2220,2.12,261801,2026-06-09T16:09:55,,,
현대퓨처넷,126560,KOSPI,2875,3000,2.13,40014,2026-06-09T16:09:55,,,
수산인더스트리,126720,KOSPI,23450,23800,4.45,15973,2026-06-09T16:09:55,,,
대성산업,128820,KOSPI,5160,5150,2.18,343199,2026-06-09T16:09:55,,,
한미약품,128940,KOSPI,428500,411500,3.75,244154,2026-06-09T16:09:55,,,
인터지스,129260,KOSPI,1929,1902,4.72,15463,2026-06-09T16:09:55,,,
한전산업,130660,KOSPI,12500,12540,4.52,165684,2026-06-09T16:09:55,,,
TIGER 원유선물Enhanc,130680,KOSPI,7200,7070,-4.19,19770,2026-06-09T16:09:55,,,
KIWOOM 단기자금,130730,KOSPI,102355,102360,0.01,4029,2026-06-09T16:09:55,,,
ACE 삼성그룹동일가중,131890,KOSPI,43370,42225,3.14,4385,2026-06-09T16:09:55,,,
KODEX 골드선물(H),132030,KOSPI,24525,23795,0.72,117888,2026-06-09T16:09:55,,,
TIGER 미국나스닥100,133690,KOSPI,198335,195425,0.25,1143562,2026-06-09T16:09:55,,,
화인베스틸,133820,KOSPI,1009,1017,0.2,76175,2026-06-09T16:09:55,,,
미원화학,134380,KOSPI,10270,10000,-0.29,4016,2026-06-09T16:09:55,,,
시디즈,134790,KOSPI,17430,18250,-2.24,1870,2026-06-09T16:09:55,,,
RISE 중기우량회사채,136340,KOSPI,103855,103970,0.07,8152,2026-06-09T16:09:55,,,
선진,136490,KOSPI,9320,9170,3.1,78646,2026-06-09T16:09:55,,,
에스디바이오센서,137310,KOSPI,7080,7110,4.27,132716,2026-06-09T16:09:55,,,
TIGER 농산물선물Enha,137610,KOSPI,5095,5085,0.39,13930,2026-06-09T16:09:55,,,
메리츠금융지주,138040,KOSPI,109100,108200,6.13,364454,2026-06-09T16:09:55,,,
KIWOOM 미국달러선물,138230,KOSPI,17575,17765,-1.43,2300,2026-06-09T16:09:55,,,
TIGER 삼성그룹,138520,KOSPI,43015,40600,8.62,142219,2026-06-09T16:09:55,,,
TIGER LG그룹플러스,138530,KOSPI,13805,13230,-1.18,3429033,2026-06-09T16:09:55,,,
TIGER 현대차그룹플러,138540,KOSPI,65710,63400,2.67,2066676,2026-06-09T16:09:55,,,
KODEX 구리선물(H),138910,KOSPI,9835,9755,1.24,41275,2026-06-09T16:09:55,,,
KODEX 콩선물(H),138920,KOSPI,11235,11210,-0.4,784,2026-06-09T16:09:55,,,
BNK금융지주,138930,KOSPI,17060,16770,5.11,1714300,2026-06-09T16:09:55,,,
iM금융지주,139130,KOSPI,17280,17300,4.1,423133,2026-06-09T16:09:55,,,
TIGER 200 건설,139220,KOSPI,8205,8200,4.79,1315407,2026-06-09T16:09:55,,,
TIGER 200 중공업,139230,KOSPI,15755,16115,3.79,623262,2026-06-09T16:09:55,,,
TIGER 200 철강소재,139240,KOSPI,11430,11340,3.02,40952,2026-06-09T16:09:55,,,
TIGER 200 에너지화학,139250,KOSPI,18325,18135,2.17,77207,2026-06-09T16:09:55,,,
TIGER 200 IT,139260,KOSPI,175295,162655,11.56,1722205,2026-06-09T16:09:55,,,
TIGER 200 금융,139270,KOSPI,16970,16735,4.3,29652,2026-06-09T16:09:55,,,
TIGER 경기방어,139280,KOSPI,12465,12400,4.53,14156,2026-06-09T16:09:55,,,
TIGER 200 경기소비재,139290,KOSPI,32200,31100,3.21,17659,2026-06-09T16:09:55,,,
TIGER 금은선물(H),139320,KOSPI,18460,17895,0.9,14093,2026-06-09T16:09:55,,,
이마트,139480,KOSPI,87300,87500,3.93,178421,2026-06-09T16:09:55,,,
KIWOOM 미국달러선물,139660,KOSPI,7660,7630,1.73,4105,2026-06-09T16:09:55,,,
아주스틸,139990,KOSPI,2240,2190,-2.82,79507,2026-06-09T16:09:55,,,
RISE 수출주,140570,KOSPI,29060,28195,5.1,1265,2026-06-09T16:09:55,,,
RISE 우량업종대표주,140580,KOSPI,28370,27845,4.0,2154,2026-06-09T16:09:55,,,
KODEX 보험,140700,KOSPI,19865,19060,5.33,162331,2026-06-09T16:09:55,,,
KODEX 운송,140710,KOSPI,6105,6110,2.86,28124,2026-06-09T16:09:55,,,
파워 코스피100,140950,KOSPI,102480,97700,8.82,9739,2026-06-09T16:09:55,,,
핸즈코퍼레이션,143210,KOSPI,1199,1199,0.0,0,2026-06-09T16:09:55,,,
TIGER 미국S&P500선물,143850,KOSPI,75485,74840,0.43,2993,2026-06-09T16:09:55,,,
TIGER 헬스케어,143860,KOSPI,38935,38820,5.41,31305,2026-06-09T16:09:55,,,
KODEX 은선물(H),144600,KOSPI,11220,10660,1.86,1029807,2026-06-09T16:09:55,,,
다이나믹디자인,145210,KOSPI,224,224,0.0,0,2026-06-09T16:09:55,,,
케이탑리츠,145270,KOSPI,756,762,0.0,120358,2026-06-09T16:09:55,,,
ACE 인버스,145670,KOSPI,1237,1304,-9.24,497808,2026-06-09T16:09:55,,,
덴티움,145720,KOSPI,44500,43950,3.73,27927,2026-06-09T16:09:55,,,
TREX 펀더멘탈 200,145850,KOSPI,132100,127415,5.85,147,2026-06-09T16:09:55,,,
삼양사,145990,KOSPI,42350,42450,1.68,8292,2026-06-09T16:09:55,,,
삼양사우,145995,KOSPI,30600,31150,0.33,1647,2026-06-09T16:09:55,,,
TIGER 모멘텀,147970,KOSPI,96390,93475,6.31,3458,2026-06-09T16:09:55,,,
RISE 200,148020,KOSPI,130910,124750,8.81,710347,2026-06-09T16:09:55,,,
KIWOOM 국고채10년,148070,KOSPI,103925,104035,0.45,19001,2026-06-09T16:09:55,,,
TIGER 중국소비테마,150460,KOSPI,7245,7325,4.85,20150,2026-06-09T16:09:55,,,
PLUS 200,152100,KOSPI,131880,125735,8.79,209208,2026-06-09T16:09:55,,,
KODEX 국채선물10년,152380,KOSPI,64570,64525,0.57,3079,2026-06-09T16:09:55,,,
ACE 레버리지,152500,KOSPI,75585,68080,17.61,96624,2026-06-09T16:09:55,,,
파워 200,152870,KOSPI,131020,125005,8.84,15303,2026-06-09T16:09:55,,,
KODEX 단기채권,153130,KOSPI,113295,113300,0.0,11516,2026-06-09T16:09:55,,,
KIWOOM 코스피100,153270,KOSPI,100460,95045,9.43,6474,2026-06-09T16:09:55,,,
DSR,155660,KOSPI,4120,4115,3.78,22051,2026-06-09T16:09:55,,,
KODEX MSCI Korea,156080,KOSPI,61775,58795,8.85,6899,2026-06-09T16:09:55,,,
TIGER 단기통안채,157450,KOSPI,111870,111890,-0.01,43463,2026-06-09T16:09:55,,,
TIGER 소프트웨어,157490,KOSPI,9925,9235,-1.24,922574,2026-06-09T16:09:55,,,
TIGER 증권,157500,KOSPI,16605,16185,5.5,1364384,2026-06-09T16:09:55,,,
마이티 코스피100,159800,KOSPI,103210,97720,9.11,256,2026-06-09T16:09:55,,,
TIGER 구리실물,160580,KOSPI,16985,16945,0.21,138682,2026-06-09T16:09:55,,,
애경케미칼,161000,KOSPI,10270,10170,0.69,222211,2026-06-09T16:09:55,,,
한국타이어앤테크놀로,161390,KOSPI,73000,70600,8.96,694879,2026-06-09T16:09:55,,,
PLUS 고배당주,161510,KOSPI,26130,25655,3.18,1529013,2026-06-09T16:09:55,,,
한국콜마,161890,KOSPI,81800,83000,5.68,156285,2026-06-09T16:09:55,,,
동일고무벨트,163560,KOSPI,6180,6040,5.28,17857,2026-06-09T16:09:55,,,
TIGER 200커버드콜OTM,166400,KOSPI,23935,22900,9.47,2943,2026-06-09T16:09:55,,,
KIWOOM 국고채10년레,167860,KOSPI,91545,91265,0.93,177,2026-06-09T16:09:55,,,
ACE 중국본토CSI300,168580,KOSPI,38660,38385,0.78,29192,2026-06-09T16:09:55,,,
KODEX 차이나A50,169950,KOSPI,28555,28890,-0.12,748,2026-06-09T16:09:55,,,
동아에스티,170900,KOSPI,37250,36250,4.63,20692,2026-06-09T16:09:55,,,
TIGER 로우볼,174350,KOSPI,20170,19955,3.25,908,2026-06-09T16:09:55,,,
RISE 중국본토대형주C,174360,KOSPI,26240,26195,-0.49,7020,2026-06-09T16:09:55,,,
JB금융지주,175330,KOSPI,25900,25500,4.44,363156,2026-06-09T16:09:55,,,
KODEX 국채선물10년인,176950,KOSPI,60175,60185,-0.38,168603,2026-06-09T16:09:55,,,
PI첨단소재,178920,KOSPI,21400,21500,6.47,162334,2026-06-09T16:09:55,,,
한진칼,180640,KOSPI,114400,115600,9.26,154699,2026-06-09T16:09:55,,,
한진칼우,018064,KOSPI,0,28000,0.0,0,,,,
ACE 미국부동산리츠(,181480,KOSPI,84590,85845,-1.23,385,2026-06-09T16:09:55,,,
NHN,181710,KOSPI,42500,40550,-5.56,207006,2026-06-09T16:09:55,,,
TIGER 미국MSCI리츠(,182480,KOSPI,13430,13700,-1.21,12344,2026-06-09T16:09:55,,,
TIGER 단기선진하이일,182490,KOSPI,13705,13780,0.18,100,2026-06-09T16:09:55,,,
아세아시멘트,183190,KOSPI,9510,9550,5.08,43899,2026-06-09T16:09:55,,,
RISE 200채권혼합50,183700,KOSPI,104365,101375,4.63,9985,2026-06-09T16:09:55,,,
RISE 주식혼합,183710,KOSPI,105320,100265,6.85,2573,2026-06-09T16:09:55,,,
KODEX 미국S&P바이오(,185680,KOSPI,41740,42425,-0.49,2229,2026-06-09T16:09:55,,,
종근당,185750,KOSPI,70800,70500,-1.26,34118,2026-06-09T16:09:55,,,
PLUS 글로벌MSCI(합성,189400,KOSPI,25060,25025,0.12,41,2026-06-09T16:09:55,,,
ACE 단기통안채,190620,KOSPI,101320,101345,0.0,49170,2026-06-09T16:09:55,,,
더블유게임즈,192080,KOSPI,72000,70200,6.04,122061,2026-06-09T16:09:55,,,
TIGER 차이나CSI300,192090,KOSPI,14140,14030,0.07,84153,2026-06-09T16:09:55,,,
쿠쿠홀딩스,192400,KOSPI,24450,25150,3.6,14867,2026-06-09T16:09:55,,,
드림텍,192650,KOSPI,4790,4660,12.57,571028,2026-06-09T16:09:55,,,
파워 고배당저변동성,192720,KOSPI,58455,58290,2.93,4212,2026-06-09T16:09:55,,,
코스맥스,192820,KOSPI,165800,164100,4.61,62497,2026-06-09T16:09:55,,,
제이에스코퍼레이션,194370,KOSPI,10800,11560,9.98,225151,2026-06-09T16:09:55,,,
해성디에스,195870,KOSPI,73600,74100,10.68,185117,2026-06-09T16:09:55,,,
TIGER 일본TOPIX(합성,195920,KOSPI,33440,33225,1.39,658,2026-06-09T16:09:55,,,
TIGER 유로스탁스50(,195930,KOSPI,22310,22160,2.22,28433,2026-06-09T16:09:55,,,
PLUS 선진국MSCI(합성,195970,KOSPI,15730,15625,0.54,7107,2026-06-09T16:09:55,,,
PLUS 신흥국MSCI(합성,195980,KOSPI,15175,14570,1.74,44607,2026-06-09T16:09:55,,,
ACE 일본TOPIX레버리,196030,KOSPI,82380,80145,2.62,722,2026-06-09T16:09:55,,,
RISE 단기통안채,196230,KOSPI,116240,116245,0.0,6025,2026-06-09T16:09:55,,,
KODEX 미국S&P500산업,200030,KOSPI,45245,45855,-1.76,12312,2026-06-09T16:09:55,,,
KIWOOM 인도Nifty50(,200250,KOSPI,22550,22965,-1.61,28415,2026-06-09T16:09:55,,,
서연이화,200880,KOSPI,12000,11520,4.35,56896,2026-06-09T16:09:55,,,
TIGER 미국나스닥바이,203780,KOSPI,31705,32060,-2.63,20845,2026-06-09T16:09:55,,,
